as_of,komoditas,horizon,ember,q10,q50,q90
2018-09-24,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-09-24,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-09-24,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-09-24,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-09-24,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-09-24,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-10-01,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-10-01,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-10-01,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-10-01,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-10-01,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-10-01,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-10-08,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-10-08,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-10-08,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-10-08,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-10-08,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-10-08,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-10-15,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-10-15,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-10-15,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-10-15,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-10-15,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-10-15,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-10-22,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-10-22,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-10-22,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-10-22,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-10-22,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-10-22,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-10-29,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-10-29,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-10-29,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-10-29,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-10-29,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-10-29,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-11-05,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-11-05,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-11-05,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-11-05,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-11-05,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-11-05,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-11-12,Cabai Merah Besar,7,1,-1.28,0.0,1.28
2018-11-12,Cabai Merah Besar,7,2,-1.28,0.0,1.28
2018-11-12,Cabai Merah Besar,7,3,-1.28,0.0,1.28
2018-11-12,Cabai Merah Besar,14,1,-1.28,0.0,1.28
2018-11-12,Cabai Merah Besar,14,2,-1.28,0.0,1.28
2018-11-12,Cabai Merah Besar,14,3,-1.28,0.0,1.28
2018-11-19,Cabai Merah Besar,7,1,-1.28,0.0,1.28
